    75/399     8.16G   0.03162  0.008199         0   0.03981        17       768         0         0    0.1785   0.05322   0.05857  0.004662         0
    76/399     8.16G   0.03226  0.007905         0   0.04017        18       768         0         0    0.2103   0.05136   0.06068  0.004605         0
    77/399     8.16G   0.03397  0.008026         0     0.042        18       768         1   0.02326    0.2149   0.04671   0.05869  0.004545         0
    78/399     8.16G   0.04298  0.008506         0   0.05148        18       768         0         0    0.1423   0.03088   0.05952  0.004618         0
    79/399     8.16G   0.03406   0.00835         0   0.04241        18       768         0         0    0.1434   0.03298    0.0575  0.004859         0
    80/399     8.16G   0.03174  0.008377         0   0.04011        18       768         0         0    0.1271   0.03348    0.0565  0.004795         0
    81/399     8.16G   0.03178  0.007868         0   0.03965        18       768         0         0    0.1767   0.03745   0.05811   0.00488         0
    82/399     8.16G   0.03383  0.007838         0   0.04167        18       768         1   0.02326    0.1841   0.04648    0.0549  0.004857         0
    83/399     8.16G   0.03634  0.008065         0    0.0444        18       768         1   0.02326    0.1798   0.04293   0.05588  0.004605         0
    84/399     8.16G   0.03806   0.00809         0   0.04615        18       768         0         0    0.0409  0.009026   0.05904  0.004653         0
    85/399     8.16G   0.03755  0.008416         0   0.04596        18       768         0         0   0.02471  0.005916   0.05812   0.00488         0
    86/399     8.16G   0.03897  0.008063         0   0.04703        18       768         0         0   0.05322   0.01038   0.05757  0.005014         0
    87/399     8.16G    0.0384   0.00801         0   0.04641        18       768         0         0   0.05112   0.01101   0.06089  0.004725         0
    88/399     8.16G   0.03834  0.008013         0   0.04636        18       768         0         0   0.05999   0.01369    0.0606  0.004693         0
    89/399     8.16G   0.03339  0.007928         0   0.04132        17       768         0         0   0.06989   0.01413   0.05671  0.004924         0
    90/399     8.16G    0.0333  0.007957         0   0.04125        18       768         0         0   0.06063   0.01339    0.0582  0.004778         0
    91/399     8.16G   0.03483  0.008033         0   0.04287        18       768         0         0   0.08073   0.01956    0.0572  0.004755         0
    92/399     8.16G   0.03747  0.008386         0   0.04586        18       768         0         0   0.07146   0.01943    0.0585  0.004666         0
    93/399     8.16G   0.03315  0.008551         0    0.0417        18       768         0         0    0.0856   0.02016    0.0585  0.004478         0
    94/399     8.16G   0.03177  0.008207         0   0.03998        17       768         0         0    0.1348   0.02859   0.05871  0.004401         0
    95/399     8.16G   0.03377  0.007934         0    0.0417        18       768         1   0.02326    0.1342   0.02935   0.06006  0.004137         0
    96/399     8.16G   0.03444  0.008018         0   0.04245        18       768         0         0   0.09671   0.02151   0.06632  0.004022         0
    97/399     8.16G   0.03269  0.008216         0   0.04091        18       768         0         0   0.04095    0.0141   0.06557  0.004322         0
    98/399     8.16G   0.03335  0.008334         0   0.04169        18       768         0         0   0.06514   0.01108   0.06604  0.004127         0
    99/399     8.16G   0.04172  0.008142         0   0.04986        18       768         0         0   0.04776   0.01081    0.0677  0.003841         0
   100/399     8.16G   0.03033  0.008145         0   0.03847        18       768         0         0   0.04171   0.01011   0.07041  0.003726         0
   101/399     8.16G    0.0332  0.008167         0   0.04136        18       768         0         0   0.02213  0.005572   0.06697  0.003958         0
   102/399     8.16G    0.0367  0.008122         0   0.04482        17       768         1   0.02326   0.07092   0.02883   0.07253   0.00405         0
   103/399     8.16G   0.03464  0.008037         0   0.04268        18       768         0         0    0.0972   0.03278   0.05663  0.004886         0
   104/399     8.16G   0.03437   0.00787         0   0.04224        18       768         1   0.02326    0.1472   0.04551   0.05666  0.004948         0
   105/399     8.16G   0.03455  0.007946         0    0.0425        18       768         0         0    0.1309   0.03716   0.05353  0.005197         0
   106/399     8.16G   0.03521  0.008071         0   0.04328        18       768         0         0   0.09161   0.02853   0.05402  0.005112         0
   107/399     8.16G   0.03495   0.00838         0   0.04333        18       768         0         0   0.08177   0.02073   0.05534  0.004816         0
   108/399     8.16G   0.03595  0.007988         0   0.04394        18       768         0         0    0.1255   0.03007   0.06029  0.004681         0
   109/399     8.16G   0.03487  0.008416         0   0.04329        18       768         0         0    0.1297    0.0331   0.05705  0.004705         0
   110/399     8.16G   0.03669  0.008089         0   0.04478        18       768         0         0    0.1191   0.04201   0.05687  0.004683         0
   111/399     8.16G   0.03394  0.008316         0   0.04225        18       768         0         0   0.08797   0.02965   0.05793  0.004845         0
   112/399     8.16G   0.03042  0.008044         0   0.03846        18       768         0         0    0.1298   0.04108   0.05968  0.004678         0
   113/399     8.16G   0.03303  0.007994         0   0.04103        18       768         0         0    0.1121   0.03792   0.05951  0.004618         0
   114/399     8.16G   0.03201   0.00845         0   0.04046        18       768         1   0.02326    0.1778   0.06287   0.06208  0.004497         0
   115/399     8.16G   0.03109  0.008226         0   0.03931        17       768         1   0.02326    0.1725   0.06236   0.06601  0.004356         0
   116/399     8.16G   0.03321  0.008297         0   0.04151        18       768         0         0    0.1879   0.06267    0.0692  0.004428         0
   117/399     8.16G   0.03138  0.008085         0   0.03946        18       768         0         0    0.1563   0.04933   0.06643  0.004264         0
   118/399     8.16G   0.03195  0.008168         0   0.04011        18       768         0         0    0.1762   0.05049   0.06272  0.004537         0
